SOILS_ID,XCOORD,YCOORD,SOILTYPE,SOILSYMB
520,27.905725,-16.959907,lake,lake
521,27.12009,-16.863842,x,Pd3
522,26.824907,-16.994297,Lixisols,Pu19
523,23.875141,-16.913328,x,Es8
524,24.753801,-16.993033,x,D9
525,25.941152,-16.99074,x,Pd3
526,26.538799,-16.781513,Leptosols,H2
527,27.290894,-17.46395,x,Vd3
528,26.194873,-16.941707,x,Pd4
529,26.539422,-16.920515,x,Pu12
530,24.788563,-17.017605,x,D9
531,22.879392,-17.035272,Arenosols,Es4
532,25.196086,-17.362734,Planosols,A1
533,26.214858,-17.297486,Acrisols,Pu8
534,23.567835,-17.353197,Arenosols,Es3
535,26.132135,-17.2752,Leptosols,Pu30
536,23.246627,-17.376615,x,Es6
537,26.575593,-17.533866,Leptosols,Pu30
538,25.797224,-17.478409,Vertisols,D2
539,25.767033,-17.658563,Arenosols,Es5
540,25.311962,-17.566801,x,A10
541,25.458194,-17.702405,Planosols,A1
542,24.711313,-17.502933,x,A14
543,26.273666,-17.691307,Vertisols,D2
544,25.222866,-17.640162,Planosols,A1
545,25.77579,-17.768735,Leptosols,Ed
546,25.943971,-17.839481,Arenosols,Es5
547,25.92028,-17.929891,Leptosols,Ed
548,25.930253,-17.928676,Arenosols,Es5
549,25.971256,-17.977233,Arenosols,Es5
